speaker-name,start-time,end-time,text,,,translationGaëtane,00:00:01.04,00:00:13.21,"Quand j'étais dans mon appartement, le soir, avant qu'elle parte, j'essayais de l'embrasser et vite elle partait en courant.",,,"When I was in my apartment, in the evening, before she left, I tried to kiss her and she quickly ran away."
Hélène,,,"Ah, je me rappelle pas de ça moi",,,"Ah, I don't remember that."
Gaëtane,,,Je disais tiens...,,,I was saying...
Hélène,,,Ça doit etre quelqu'un d'autre,,,It must be someone else
Gaëtane,,,"Tiens, c'est curieux.",,,"Well, that's curious."
