Speaker Name,Start Time,End Time,Text,,Translation
Gaëtane,00:00:02:05,00:00:08:01,Et moi j'ai... J'ai fait un rêve.,,And I... I had a dream.
Gaëtane,00:00:08:30,00:00:18:20,Que ma maison... Ma maison ont était vide. Que ma maison était vide.,,That my house... My house was empty. That my house was empty. 
Gaëtane,00:00:18:20,00:00:28:20,"Et qu'il y avait des sortes de choses qui chuchoter et des choses.... Je sais maintenant que ma maison, c'était moi, quoi. ",,"And there were these whispering things and things... I know now that my house was me, you know. "
Gaëtane,00:00:28:20,00:00:35:00,"Ils m'avait pris tout ce que j'étais, tout ce que j'avais.",,"They took everything I was, everything I had."
