speaker-name,start-time,end-time,text,,translation
Gaëtane,00:00:00.01,00:00:10.04,"Là, Cel avec les dames là bas sont récentes. Celle-là elle est relativement récente aussi."
Alicia,00:00:10.06,00:00:12.22,"C'est une autre couleur, celle-là."
Gaëtane,00:00:12.22,00:00:27.00,"C'est des dauphins, ça représente des dauphins qui nage...Si tu le regarde de loin, tu verra les dauphins, des dauphins qui nagent dans la mer."
